country,state,county,cases
AT,AT11,AT111,81
AT,AT11,AT112,399
AT,AT11,AT113,492
AT,AT12,AT121,984
AT,AT12,AT122,1816
AT,AT12,AT123,871
AT,AT12,AT124,1051
AT,AT12,AT125,923
AT,AT12,AT126,847
AT,AT12,AT127,1073
AT,AT13,AT130,18250
AT,AT21,AT211,555
AT,AT21,AT212,173
AT,AT21,AT213,289
AT,AT22,AT221,1811
AT,AT22,AT223,292
AT,AT22,AT224,800
AT,AT22,AT225,542
AT,AT22,AT226,162
AT,AT31,AT311,958
AT,AT31,AT312,3799
AT,AT31,AT313,1047
AT,AT31,AT314,609
AT,AT31,AT315,845
AT,AT32,AT321,40
AT,AT32,AT322,1090
AT,AT32,AT323,1370
AT,AT33,AT331,120
AT,AT33,AT332,2371
AT,AT33,AT333,183
AT,AT33,AT334,1618
AT,AT33,AT335,2167
AT,AT34,AT341,1095
AT,AT34,AT342,1061
