country,state,county,cases,deaths,recovered,tested,tests,public_tests,private_tests,hospitalized,presumed_cases,monitoring,Attribution,AttributionURL,publication_date,scrape_date,source_links
Austria,ALL,Amstetten,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1585324800,1585324800,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Dashboard/Zahlen-zur-Hospitalisierung
Austria,ALL,Baden,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1585324800,1585324800,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Dashboard/Zahlen-zur-Hospitalisierung
Austria,ALL,Bludenz,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1585324800,1585324800,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Dashboard/Zahlen-zur-Hospitalisierung
Austria,ALL,Braunau_am_Inn,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1585324800,1585324800,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Dashboard/Zahlen-zur-Hospitalisierung
Austria,ALL,Bregenz,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1585324800,1585324800,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Dashboard/Zahlen-zur-Hospitalisierung
Austria,ALL,Bruck_an_der_Leitha,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1585324800,1585324800,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Dashboard/Zahlen-zur-Hospitalisierung
Austria,ALL,Bruck-Mürzzuschlag,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1585324800,1585324800,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Dashboard/Zahlen-zur-Hospitalisierung
Austria,ALL,Deutschlandsberg,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1585324800,1585324800,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Dashboard/Zahlen-zur-Hospitalisierung
Austria,ALL,Dornbirn,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1585324800,1585324800,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Dashboard/Zahlen-zur-Hospitalisierung
Austria,ALL,Eferding,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1585324800,1585324800,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Dashboard/Zahlen-zur-Hospitalisierung
