"Stamp","Date","RegionID","Region","Population","newConfirmed","rmaConfirmed","newConfPop","newRecovered","newDeaths","sumConfirmed","sumRecovered","sumDeaths"
2020-02-26,2020-02-26,305,"Amstetten",116520,NA,0,NA,NA,NA,0,0,0
2020-02-26,2020-02-26,306,"Baden",146751,NA,0,NA,NA,NA,0,0,0
2020-02-26,2020-02-26,801,"Bludenz",64107,NA,0,NA,NA,NA,0,0,0
2020-02-26,2020-02-26,404,"Braunau am Inn",105553,NA,0,NA,NA,NA,0,0,0
2020-02-26,2020-02-26,802,"Bregenz",134987,NA,0,NA,NA,NA,0,0,0
2020-02-26,2020-02-26,307,"Bruck an der Leitha",103735,NA,0,NA,NA,NA,0,0,0
2020-02-26,2020-02-26,621,"Bruck-Mürzzuschlag",98697,NA,0,NA,NA,NA,0,0,0
2020-02-26,2020-02-26,603,"Deutschlandsberg",60867,NA,0,NA,NA,NA,0,0,0
2020-02-26,2020-02-26,803,"Dornbirn",89912,NA,0,NA,NA,NA,0,0,0
2020-02-26,2020-02-26,405,"Eferding",33178,NA,0,NA,NA,NA,0,0,0
2020-02-26,2020-02-26,103,"Eisenstadt-Umgebung",43236,NA,0,NA,NA,NA,0,0,0
2020-02-26,2020-02-26,101,"Eisenstadt(Stadt)",14816,NA,0,NA,NA,NA,0,0,0
2020-02-26,2020-02-26,804,"Feldkirch",108133,NA,0,NA,NA,NA,0,0,0
2020-02-26,2020-02-26,210,"Feldkirchen",29902,NA,0,NA,NA,NA,0,0,0
2020-02-26,2020-02-26,406,"Freistadt",66861,NA,0,NA,NA,NA,0,0,0
2020-02-26,2020-02-26,308,"Gänserndorf",104782,NA,0,NA,NA,NA,0,0,0
2020-02-26,2020-02-26,309,"Gmünd",36553,NA,0,NA,NA,NA,0,0,0
2020-02-26,2020-02-26,407,"Gmunden",101859,NA,0,NA,NA,NA,0,0,0
2020-02-26,2020-02-26,606,"Graz-Umgebung",156070,NA,0,NA,NA,NA,0,0,0
2020-02-26,2020-02-26,601,"Graz(Stadt)",291072,NA,0,NA,NA,NA,0,0,0
2020-02-26,2020-02-26,408,"Grieskirchen",64875,NA,0,NA,NA,NA,0,0,0
2020-02-26,2020-02-26,104,"Güssing",25699,NA,0,NA,NA,NA,0,0,0
2020-02-26,2020-02-26,502,"Hallein",60824,NA,0,NA,NA,NA,0,0,0
2020-02-26,2020-02-26,622,"Hartberg-Fürstenfeld",90606,NA,0,NA,NA,NA,0,0,0
