Stamp,Status,AT,B,K,Noe,Ooe,Szbg,Stmk,T,V,W
2021-01-01 08:00:00,Confirmed,360499,9283,21242,54148,72012,28615,42390,40484,19311,73014
2021-01-01 09:30:00,Deaths,6261,178,523,862,1222,333,1331,477,219,1116
2021-01-01 09:30:00,Recovered,334901,8804,19517,50115,67952,25310,37664,38670,18652,68217
2021-01-01 09:30:00,Hospitalisierung,2243,42,127,373,507,146,383,128,64,473
2021-01-01 09:30:00,Intensivstation,385,7,13,49,73,20,65,34,17,107
2021-01-01 09:30:00,Tested,3857382,115045,173185,704329,468813,218627,396082,460462,237960,1082879
2021-01-01 15:00:00,Confirmed,361623,9331,21330,54324,72257,28728,42534,40580,19391,73148
2021-01-02 08:00:00,Confirmed,362043,9333,21337,54464,72278,28771,42550,40597,19396,73317
2021-01-02 09:30:00,Deaths,6275,178,525,867,1228,333,1329,479,220,1116
2021-01-02 09:30:00,Recovered,336922,8888,19698,50543,68344,25453,37663,38881,18794,68658
2021-01-02 09:30:00,Hospitalisierung,2224,40,127,394,508,140,366,127,60,462
2021-01-02 09:30:00,Intensivstation,372,7,14,50,70,20,68,32,14,97
2021-01-02 09:30:00,Tested,NA,115863,173540,712743,471127,219105,396594,461120,239881,978474
2021-01-02 15:00:00,Confirmed,362813,9376,21430,54584,72371,28899,42716,40712,19406,73319
2021-01-03 08:00:00,Confirmed,363548,9380,21451,54745,72469,29051,42746,40773,19421,73512
2021-01-03 09:30:00,Deaths,6324,179,527,869,1250,336,1329,480,221,1133
2021-01-03 09:30:00,Recovered,338831,8946,19909,50936,68764,25683,NA,39071,18907,68953
2021-01-03 09:30:00,Hospitalisierung,2227,38,127,417,505,145,364,128,57,446
2021-01-03 09:30:00,Intensivstation,363,5,13,51,72,21,65,31,13,92
2021-01-03 09:30:00,Tested,3780489,116027,173977,717323,473337,219906,397518,462360,240835,979206
2021-01-03 15:00:00,Confirmed,364520,9405,21532,54950,72758,29130,42770,40894,19546,73535
2021-01-04 08:00:00,Confirmed,365258,9456,21568,55101,72805,29244,42971,40908,19569,73636
2021-01-04 09:30:00,Deaths,6357,179,529,879,1264,338,1329,480,221,1138
2021-01-04 09:30:00,Recovered,340273,8986,20010,51291,69092,25809,37662,39203,19023,69197
2021-01-04 09:30:00,Hospitalisierung,2321,37,135,422,525,139,375,143,63,482
