Stamp,Status,AT,B,K,NOe,OOe,Szb,Stmk,T,V,W
2020-02-25 15:00:00,Confirmed,2,0,0,0,0,0,0,2,0,0
2020-02-26 15:00:00,Confirmed,2,0,0,0,0,0,0,2,0,0
2020-02-26 15:00:00,Tested,321,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-27 15:00:00,Confirmed,3,0,0,0,0,0,0,2,0,1
2020-02-28 15:00:00,Confirmed,5,0,0,0,0,0,0,2,0,3
2020-02-28 15:00:00,Tested,762,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-29 15:00:00,Confirmed,7,0,0,0,0,0,1,2,0,4
2020-02-29 15:00:00,Tested,1649,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-01 15:00:00,Confirmed,10,0,0,2,0,1,1,2,0,4
2020-03-01 15:00:00,Tested,1826,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-02 15:00:00,Confirmed,14,0,0,2,0,1,1,2,0,8
2020-03-02 15:00:00,Tested,2120,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-03 15:00:00,Confirmed,18,0,0,3,0,2,2,2,0,9
2020-03-04 15:00:00,Confirmed,29,0,0,5,0,3,4,2,0,15
2020-03-04 15:00:00,Tested,3138,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-05 15:00:00,Confirmed,41,0,1,13,0,4,4,3,0,16
2020-03-05 15:00:00,Recovered,2,0,0,0,0,0,0,0,0,0
2020-03-05 15:00:00,Tested,3711,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-06 15:00:00,Confirmed,55,0,1,15,1,5,5,4,1,23
2020-03-06 15:00:00,Recovered,2,0,0,0,0,0,0,0,0,0
2020-03-06 15:00:00,Tested,4000,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-07 15:00:00,Confirmed,79,4,1,28,4,5,6,7,1,23
2020-03-07 15:00:00,Recovered,2,0,0,0,0,0,0,0,0,0
2020-03-07 15:00:00,Tested,4308,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-08 15:00:00,Confirmed,102,4,1,31,7,8,10,8,1,32
2020-03-08 15:00:00,Recovered,2,0,0,0,0,0,0,0,0,0
2020-03-08 15:00:00,Tested,4509,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-09 15:00:00,Confirmed,131,4,1,36,11,9,16,16,3,35
2020-03-09 15:00:00,Recovered,2,0,0,0,0,0,0,0,0,0
2020-03-10 15:00:00,Confirmed,183,4,1,40,22,12,17,32,11,43
2020-03-10 15:00:00,Recovered,4,0,0,0,0,0,0,0,0,0
2020-03-10 15:00:00,Tested,5062,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-11 15:00:00,Confirmed,246,4,3,45,35,14,25,57,13,50
2020-03-11 15:00:00,Recovered,4,0,0,0,0,0,0,0,0,0
2020-03-11 15:00:00,Tested,5362,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-12 15:00:00,Confirmed,361,6,3,51,58,19,33,109,16,66
2020-03-12 15:00:00,Deaths,1,0,0,0,0,0,0,0,0,1
2020-03-12 15:00:00,Recovered,4,0,0,0,0,0,0,0,0,0
2020-03-12 15:00:00,Tested,5869,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-13 15:00:00,Confirmed,504,7,4,63,84,23,52,167,22,82
2020-03-13 15:00:00,Deaths,1,0,0,0,0,0,0,0,0,1
2020-03-13 15:00:00,Recovered,4,0,0,0,0,0,0,0,0,0
2020-03-14 15:00:00,Confirmed,655,10,5,82,116,30,71,206,34,101
2020-03-14 08:00:00,Deaths,1,0,0,0,0,0,0,0,0,1
2020-03-14 08:00:00,Recovered,4,0,0,1,0,0,0,2,0,3
2020-03-14 08:00:00,Tested,8167,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-15 15:00:00,Confirmed,860,10,6,111,159,39,111,254,48,122
2020-03-15 15:00:00,Deaths,1,0,0,0,0,0,0,0,0,1
2020-03-15 15:00:00,Recovered,6,0,0,1,0,0,0,2,0,3
2020-03-16 15:00:00,Confirmed,1016,10,18,152,202,58,139,254,55,128
2020-03-16 08:00:00,Deaths,2,0,0,0,0,0,1,0,0,1
2020-03-16 08:00:00,Recovered,8,0,0,1,0,0,0,2,0,5
2020-03-16 08:00:00,Tested,8490,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-17 15:00:00,Confirmed,1332,11,27,216,248,66,171,328,99,166
2020-03-17 15:00:00,Deaths,2,0,0,0,0,0,1,0,0,1
2020-03-17 15:00:00,Recovered,9,0,0,1,0,0,0,2,0,5
2020-03-17 15:00:00,Tested,10278,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-18 15:00:00,Confirmed,1646,20,41,256,305,89,220,382,124,209
2020-03-18 08:00:00,Deaths,4,0,0,0,0,0,1,0,0,1
2020-03-18 08:00:00,Recovered,9,0,0,1,0,0,0,2,0,5
2020-03-18 08:00:00,Tested,11977,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-19 15:00:00,Confirmed,2013,29,50,305,371,127,282,464,151,234
2020-03-19 15:00:00,Deaths,6,0,0,0,1,0,3,0,0,2
2020-03-19 15:00:00,Recovered,9,0,0,1,0,0,0,2,0,5
2020-03-19 15:00:00,Tested,13724,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-20 15:00:00,Confirmed,2388,33,71,355,421,167,340,508,197,296
2020-03-20 15:00:00,Deaths,6,0,0,0,1,0,3,0,0,2
2020-03-20 15:00:00,Recovered,9,0,0,2,0,0,0,2,0,5
2020-03-20 15:00:00,Tested,15613,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-21 15:00:00,Confirmed,2814,54,83,394,548,185,388,575,228,359
2020-03-21 15:00:00,Deaths,8,0,0,1,1,0,3,0,0,3
2020-03-21 15:00:00,Tested,18545,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-22 16:00:00,Confirmed,3244,63,105,446,628,269,423,644,263,403
2020-03-22 16:00:00,Deaths,16,1,1,1,2,0,4,0,0,7
2020-03-22 08:00:00,Recovered,9,0,0,2,0,0,0,2,0,5
2020-03-22 08:00:00,Tested,21368,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-23 15:00:00,Confirmed,3924,71,122,564,707,372,486,803,323,476
2020-03-23 15:00:00,Deaths,21,1,1,1,2,0,4,1,0,11
2020-03-23 08:00:00,Recovered,9,0,0,2,0,0,0,2,0,5
2020-03-23 08:00:00,Tested,23429,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-24 15:00:00,Confirmed,4876,84,141,620,795,429,558,1253,379,617
2020-03-24 15:00:00,Deaths,28,2,1,3,2,0,5,4,0,11
2020-03-24 08:00:00,Tested,28391,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-25 15:00:00,Confirmed,5560,89,161,750,915,516,627,1393,407,702
2020-03-25 15:00:00,Deaths,31,2,1,5,2,0,5,4,0,12
2020-03-25 08:00:00,Tested,32407,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-26 15:00:00,Confirmed,6398,115,183,873,1054,591,699,1623,435,825
2020-03-26 15:00:00,Deaths,49,2,2,12,3,1,11,4,0,14
2020-03-26 07:00:00,Hospitalisierung,547,5,12,81,46,23,151,110,23,96
2020-03-26 07:00:00,Intensivstation,96,2,9,21,5,6,19,15,7,12
2020-03-26 09:00:00,Tested,35995,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-27 15:00:00,Confirmed,7399,138,202,1140,1217,687,759,1752,501,1003
2020-03-27 09:30:00,Deaths,58,2,2,13,4,1,13,6,1,16
2020-03-27 09:30:00,Hospitalisierung,800,11,22,127,82,48,179,166,36,129
2020-03-27 09:30:00,Intensivstation,128,4,8,18,10,10,16,38,10,14
2020-03-27 08:00:00,Tested,39552,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-28 15:00:00,Confirmed,7995,142,221,1262,1332,751,828,1846,549,1046
2020-03-28 08:00:00,Deaths,68,2,2,13,4,4,17,9,1,16
2020-03-28 08:00:00,Hospitalisierung,770,12,23,150,NA,43,125,176,41,118
2020-03-28 08:00:00,Intensivstation,159,4,9,20,NA,10,23,43,11,29
2020-03-28 08:00:00,Tested,42750,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-29 15:00:00,Confirmed,8536,159,239,1350,1451,798,915,1944,579,1101
2020-03-29 09:30:00,Deaths,86,3,2,19,7,4,19,10,1,21
2020-03-29 09:30:00,Hospitalisierung,931,10,22,160,138,53,142,185,45,176
2020-03-29 09:30:00,Intensivstation,187,4,9,26,22,12,24,42,13,35
2020-03-29 09:30:00,Recovered,479,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-29 08:00:00,Tested,46441,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-30 15:00:00,Confirmed,9377,179,261,1533,1535,855,958,2205,616,1235
2020-03-30 09:30:00,Deaths,108,3,2,28,7,7,24,13,1,23
2020-03-30 09:30:00,Hospitalisierung,999,10,26,167,156,58,147,198,49,188
2020-03-30 09:30:00,Intensivstation,193,4,10,26,23,13,19,50,13,35
2020-03-30 09:30:00,Recovered,636,10,13,86,101,43,28,270,47,38
2020-03-30 08:00:00,Tested,49455,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-31 15:00:00,Confirmed,9974,182,273,1616,1596,911,1049,2323,646,1378
2020-03-31 09:30:00,Deaths,128,3,2,28,10,9,30,19,2,25
2020-03-31 07:30:00,Hospitalisierung,1110,10,32,223,167,63,149,213,62,191
2020-03-31 07:30:00,Intensivstation,198,3,12,32,27,9,24,57,12,22
2020-03-31 09:30:00,Recovered,1095,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-31 08:00:00,Tested,52344,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-01 15:00:00,Confirmed,10482,188,293,1685,1671,955,1113,2414,666,1497
2020-04-01 10:00:00,Deaths,146,3,2,28,12,11,34,24,3,29
2020-04-01 08:00:00,Hospitalisierung,1071,10,29,200,142,66,165,213,51,195
2020-04-01 08:00:00,Intensivstation,215,3,11,36,29,10,27,57,12,30
2020-04-01 10:00:00,Recovered,1436,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-01 08:00:00,Tested,55863,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-02 15:00:00,Confirmed,10967,201,300,1738,1781,994,1158,2531,681,1583
2020-04-02 09:30:00,Deaths,158,3,2,28,14,12,35,28,5,31
2020-04-02 07:30:00,Hospitalisierung,1057,13,28,203,138,65,149,215,51,195
2020-04-02 07:30:00,Intensivstation,227,3,11,43,31,13,28,56,12,30
2020-04-02 09:30:00,Recovered,1749,21,51,298,371,130,99,546,147,86
2020-04-02 10:00:00,Tested,92190,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-03 15:00:00,Confirmed,11383,206,304,1828,1836,1038,1205,2595,710,1661
2020-04-03 09:30:00,Deaths,168,3,3,28,17,12,38,29,4,34
2020-04-03 07:30:00,Hospitalisierung,1074,12,28,203,135,73,164,209,51,199
2020-04-03 07:30:00,Intensivstation,245,4,11,43,33,14,30,55,12,43
2020-04-03 09:30:00,Recovered,2022,29,65,340,437,136,103,631,183,98
2020-04-03 10:00:00,Tested,98343,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-04 15:00:00,Confirmed,11665,224,310,1860,1890,1059,1263,2658,722,1679
2020-04-04 09:30:00,Deaths,186,3,3,31,18,12,47,31,4,37
2020-04-04 07:30:00,Hospitalisierung,1071,10,32,206,135,79,160,210,47,192
2020-04-04 07:30:00,Intensivstation,245,3,11,39,33,15,34,54,12,44
2020-04-04 09:30:00,Recovered,2507,44,87,403,546,190,144,758,216,119
2020-04-04 10:00:00,Tested,104134,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-05 15:00:00,Confirmed,11907,226,319,1903,1932,1069,1311,2704,742,1701
2020-04-05 09:30:00,Deaths,204,3,4,31,20,14,53,35,4,40
2020-04-05 07:30:00,Hospitalisierung,1056,12,35,212,136,90,138,196,45,192
2020-04-05 07:30:00,Intensivstation,244,6,13,43,32,14,28,54,12,42
2020-04-05 09:30:00,Recovered,2998,44,97,448,653,231,169,984,247,125
2020-04-05 10:00:00,Tested,108416,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-06 15:00:00,Confirmed,12206,228,328,1994,1963,1083,1339,2774,754,1743
2020-04-06 09:30:00,Deaths,220,3,4,36,22,15,56,35,5,44
2020-04-06 07:30:00,Hospitalisierung,1074,11,34,207,135,90,155,200,43,199
2020-04-06 07:30:00,Intensivstation,250,6,12,43,29,18,30,59,11,42
2020-04-06 09:30:00,Recovered,3463,47,120,481,720,269,183,1076,303,264
2020-04-06 10:00:00,Tested,111296,NA,NA,NA,NA,NA,NA,NA,NA,NA
