Bezirk;GKZ;AnzEinwohner;Anzahl;AnzahlTot;AnzahlFaelle7Tage
Eisenstadt(Stadt);101;14895;1096;11;15
Rust(Stadt);102;2000;88;0;0
Eisenstadt-Umgebung;103;43861;2867;26;68
Güssing;104;25770;2069;60;24
Jennersdorf;105;17109;1468;26;44
Mattersburg;106;40316;2837;35;53
Neusiedl am See;107;60397;3781;45;69
Oberpullendorf;108;37453;2590;42;42
Oberwart;109;54209;4067;95;49
Klagenfurt Stadt;201;101765;7702;162;184
Villach Stadt;202;63236;4719;73;116
Hermagor;203;18052;2113;30;33
Klagenfurt Land;204;60503;4777;69;144
Sankt Veit an der Glan;205;53880;4501;104;50
Spittal an der Drau;206;75628;7086;128;154
Villach Land;207;64920;5261;93;163
Völkermarkt;208;41834;3985;64;71
Wolfsberg;209;52488;4078;77;138
Feldkirchen;210;29783;2739;53;20
Krems an der Donau(Stadt);301;24837;1810;31;53
Sankt Pölten(Stadt);302;55878;4752;66;77
Waidhofen an der Ybbs(Stadt);303;11134;1057;16;29
Wiener Neustadt(Stadt);304;46456;4645;88;84
Amstetten;305;116592;12284;133;503
Baden;306;147113;12147;141;263
Bruck an der Leitha;307;105507;7653;94;207
Gänserndorf;308;105824;7196;74;118
Gmünd;309;36275;3024;49;65
Hollabrunn;310;51332;2955;56;40
Horn;311;30838;1872;27;50
Korneuburg;312;91777;5342;53;108
Krems(Land);313;56559;4043;44;106
Lilienfeld;314;25474;2148;50;88
Melk;315;78281;7533;109;511
Mistelbach;316;75655;4451;34;95
Mödling;317;119240;7780;127;172
Neunkirchen;318;86323;7102;105;169
Sankt Pölten(Land);319;132064;9803;144;402
Scheibbs;320;41567;4814;47;241
Tulln;321;105762;6484;99;105
Waidhofen an der Thaya;322;25531;2025;14;123
Wiener Neustadt(Land);323;79033;6368;98;143
Zwettl;325;41827;3709;39;102
Linz(Stadt);401;206537;18421;247;467
Steyr(Stadt);402;37952;3328;25;156
Wels(Stadt);403;62654;7218;92;154
Braunau am Inn;404;106492;12479;118;545
Eferding;405;33368;3437;37;75
Freistadt;406;66922;6514;94;281
Gmunden;407;102102;9879;116;570
Grieskirchen;408;65137;6349;79;223
Kirchdorf an der Krems;409;57163;5490;88;164
Linz-Land;410;152391;13779;101;513
Perg;411;69241;7034;80;197
Ried im Innkreis;412;61850;7429;103;188
Rohrbach;413;56623;5692;100;89
Schärding;414;57438;6185;75;138
Steyr-Land;415;60936;5503;76;198
Urfahr-Umgebung;416;86235;7286;78;205
Vöcklabruck;417;137993;13918;167;420
Wels-Land;418;74574;7184;65;167
Salzburg(Stadt);501;155416;15028;151;338
Hallein;502;60992;8084;69;352
Salzburg-Umgebung;503;154624;15745;135;675
Sankt Johann im Pongau;504;81392;10953;116;275
Tamsweg;505;20118;2700;43;28
Zell am See;506;88168;8548;111;110
Graz(Stadt);601;291134;21621;329;680
Deutschlandsberg;603;60871;4664;113;97
Graz-Umgebung;606;157853;10781;260;295
Leibnitz;610;85294;6725;114;168
Leoben;611;59151;3879;113;82
Liezen;612;79592;6779;117;226
Murau;614;27449;2159;30;12
Voitsberg;616;50947;3954;123;81
Weiz;617;90916;7341;151;179
Murtal;620;71356;5896;180;131
Bruck-Mürzzuschlag;621;98054;7095;257;155
Hartberg-Fürstenfeld;622;90619;8295;194;193
Südoststeiermark;623;83841;6896;181;186
Innsbruck-Stadt;701;131059;11544;112;191
Imst;702;60922;6102;43;122
Innsbruck-Land;703;181698;15918;140;284
Kitzbühel;704;64676;5245;45;181
Kufstein;705;111080;10957;148;226
Landeck;706;44346;4231;49;158
Lienz;707;48814;6352;46;61
Reutte;708;33054;2497;6;113
Schwaz;709;84456;9655;133;96
Bludenz;801;64368;5009;51;124
Bregenz;802;135310;11650;111;138
Dornbirn;803;90502;8846;81;76
Feldkirch;804;109057;9627;82;140
Wien;900;1920949;173707;2470;3057
