Datum;BundeslandID;Name;TestungenSchulen;TestungenSchulenPCR;TestungenSchulenAntigen
2021-04-23;1;Burgenland;393336;;393336
2021-04-23;2;Kärnten;880496;;880496
2021-04-23;3;Niederösterreich;2329926;;2329926
2021-04-23;4;Oberösterreich;2257793;;2257793
2021-04-23;5;Salzburg;930459;;930459
2021-04-23;6;Steiermark;1779545;;1779545
2021-04-23;7;Tirol;1156402;;1156402
2021-04-23;8;Vorarlberg;719530;;719530
2021-04-23;9;Wien;2676675;;2676675
2021-04-23;10;Österreich;13124162;;13124162
2021-04-30;1;Burgenland;455452;;455452
2021-04-30;2;Kärnten;1003588;;1003588
2021-04-30;3;Niederösterreich;2658574;;2658574
2021-04-30;4;Oberösterreich;2549543;;2549543
2021-04-30;5;Salzburg;1054981;;1054981
2021-04-30;6;Steiermark;2027851;;2027851
2021-04-30;7;Tirol;1292848;;1292848
2021-04-30;8;Vorarlberg;817899;;817899
2021-04-30;9;Wien;3001463;;3001463
2021-04-30;10;Österreich;14862199;;14862199
2021-05-07;1;Burgenland;523078;;523078
2021-05-07;2;Kärnten;1131292;;1131292
2021-05-07;3;Niederösterreich;2983028;;2983028
2021-05-07;4;Oberösterreich;2864638;;2864638
2021-05-07;5;Salzburg;1183340;;1183340
2021-05-07;6;Steiermark;2285170;;2285170
2021-05-07;7;Tirol;1428934;;1428934
2021-05-07;8;Vorarlberg;922521;;922521
2021-05-07;9;Wien;3371803;;3371803
2021-05-07;10;Österreich;16693804;;16693804
2021-05-14;1;Burgenland;581984;;581984
2021-05-14;2;Kärnten;1253279;;1253279
2021-05-14;3;Niederösterreich;3346884;;3346884
2021-05-14;4;Oberösterreich;3173394;;3173394
2021-05-14;5;Salzburg;1307194;;1307194
2021-05-14;6;Steiermark;2533103;;2533103
2021-05-14;7;Tirol;1590478;;1590478
2021-05-14;8;Vorarlberg;1020281;;1020281
2021-05-14;9;Wien;3730380;;3730380
2021-05-14;10;Österreich;18536977;;18536977
2021-05-21;1;Burgenland;648246;;648246
2021-05-21;2;Kärnten;1377362;;1377362
2021-05-21;3;Niederösterreich;3703855;;3703855
2021-05-21;4;Oberösterreich;3471256;;3471256
2021-05-21;5;Salzburg;1430706;;1430706
2021-05-21;6;Steiermark;2771468;;2771468
2021-05-21;7;Tirol;1747563;;1747563
2021-05-21;8;Vorarlberg;1115676;;1115676
2021-05-21;9;Wien;4096450;;4096450
2021-05-21;10;Österreich;20362582;;20362582
2021-05-29;1;Burgenland;725009;;725009
2021-05-29;2;Kärnten;1543023;;1543023
2021-05-29;3;Niederösterreich;4161953;;4161953
2021-05-29;4;Oberösterreich;3884922;;3884922
2021-05-29;5;Salzburg;1595413;;1595413
2021-05-29;6;Steiermark;3058622;;3058622
2021-05-29;7;Tirol;1969497;;1969497
2021-05-29;8;Vorarlberg;1249102;;1249102
2021-05-29;9;Wien;4571631;;4571631
2021-05-29;10;Österreich;22759172;;22759172
2021-06-04;1;Burgenland;803076;;803076
2021-06-04;2;Kärnten;1706774;;1706774
2021-06-04;3;Niederösterreich;4650400;;4650400
2021-06-04;4;Oberösterreich;4304308;;4304308
2021-06-04;5;Salzburg;1765593;;1765593
2021-06-04;6;Steiermark;3392676;;3392676
2021-06-04;7;Tirol;2189890;;2189890
2021-06-04;8;Vorarlberg;1379010;;1379010
2021-06-04;9;Wien;5086483;;5086483
2021-06-04;10;Österreich;25278210;;25278210
2021-06-11;1;Burgenland;866064;;866064
2021-06-11;2;Kärnten;1825823;;1825823
2021-06-11;3;Niederösterreich;5014184;;5014184
2021-06-11;4;Oberösterreich;4603510;;4603510
2021-06-11;5;Salzburg;1882845;;1882845
2021-06-11;6;Steiermark;3628395;;3628395
2021-06-11;7;Tirol;2339096;;2339096
2021-06-11;8;Vorarlberg;1474510;;1474510
2021-06-11;9;Wien;5460447;;5460447
2021-06-11;10;Österreich;27094874;;27094874
2021-06-18;1;Burgenland;951847;;951847
2021-06-18;2;Kärnten;1992485;;1992485
2021-06-18;3;Niederösterreich;5507240;;5507240
2021-06-18;4;Oberösterreich;5022015;;5022015
2021-06-18;5;Salzburg;2046491;;2046491
2021-06-18;6;Steiermark;3973114;;3973114
2021-06-18;7;Tirol;2554857;;2554857
2021-06-18;8;Vorarlberg;1606400;;1606400
2021-06-18;9;Wien;5936645;;5936645
2021-06-18;10;Österreich;29591094;;29591094
2021-06-25;1;Burgenland;1036577;;1036577
2021-06-25;2;Kärnten;2156886;;2156886
2021-06-25;3;Niederösterreich;5987995;;5987995
2021-06-25;4;Oberösterreich;5387299;;5387299
2021-06-25;5;Salzburg;2212147;;2212147
2021-06-25;6;Steiermark;4309964;;4309964
2021-06-25;7;Tirol;2780447;;2780447
2021-06-25;8;Vorarlberg;1734946;;1734946
2021-06-25;9;Wien;6360055;;6360055
2021-06-25;10;Österreich;31966316;;31966316
2021-07-02;1;Burgenland;1120830;;1120830
2021-07-02;2;Kärnten;2316238;;2316238
2021-07-02;3;Niederösterreich;6448354;;6448354
2021-07-02;4;Oberösterreich;5760048;;5760048
2021-07-02;5;Salzburg;2369312;;2369312
2021-07-02;6;Steiermark;4644775;;4644775
2021-07-02;7;Tirol;2993332;;2993332
2021-07-02;8;Vorarlberg;1859205;;1859205
2021-07-02;9;Wien;6780652;;6780652
2021-07-02;10;Österreich;34292746;;34292746
2021-07-09;1;Burgenland;1145146;;1145146
2021-07-09;2;Kärnten;2469320;;2469320
2021-07-09;3;Niederösterreich;6570614;;6570614
2021-07-09;4;Oberösterreich;6107585;;6107585
2021-07-09;5;Salzburg;2523016;;2523016
2021-07-09;6;Steiermark;4945449;;4945449
2021-07-09;7;Tirol;3199768;;3199768
2021-07-09;8;Vorarlberg;1977373;;1977373
2021-07-09;9;Wien;6944994;;6944994
2021-07-09;10;Österreich;35883265;;35883265
2021-09-16;1;Burgenland;1306301;59392;1246909
2021-09-16;2;Kärnten;2597147;55501;2541646
2021-09-16;3;Niederösterreich;7513003;316725;7196278
2021-09-16;4;Oberösterreich;6427137;151391;6275746
2021-09-16;5;Salzburg;2648702;58429;2590273
2021-09-16;6;Steiermark;5182300;118333;5063967
2021-09-16;7;Tirol;3359989;76656;3283333
2021-09-16;8;Vorarlberg;2071021;44025;2026996
2021-09-16;9;Wien;7842045;447767;7394278
2021-09-16;10;Österreich;38947645;1328219;37619426
2021-09-22;1;Burgenland;1398892;88117;1310775
2021-09-22;2;Kärnten;2794533;109035;2685498
2021-09-22;3;Niederösterreich;8070162;483485;7586677
2021-09-22;4;Oberösterreich;6947692;303423;6644269
2021-09-22;5;Salzburg;2855923;116294;2739629
2021-09-22;6;Steiermark;5559590;233930;5325660
2021-09-22;7;Tirol;3623348;152149;3471199
2021-09-22;8;Vorarlberg;2222864;87149;2135715
2021-09-22;9;Wien;8288523;672387;7616136
2021-09-22;10;Österreich;41761527;2245969;39515558
2021-09-29;1;Burgenland;1481174;113621;1367553
2021-09-29;2;Kärnten;2960707;159792;2800915
2021-09-29;3;Niederösterreich;8536100;629044;7907056
2021-09-29;4;Oberösterreich;7398766;448163;6950603
2021-09-29;5;Salzburg;2983409;171807;2811602
2021-09-29;6;Steiermark;5898735;343146;5555589
2021-09-29;7;Tirol;3850058;224248;3625810
2021-09-29;8;Vorarlberg;2357165;129011;2228154
2021-09-29;9;Wien;8741079;972346;7768733
2021-09-29;10;Österreich;44207193;3191178;41016015
2021-10-06;1;Burgenland;1560626;139331;1421295
2021-10-06;2;Kärnten;3115586;206261;2909325
2021-10-06;3;Niederösterreich;8977950;774501;8203449
2021-10-06;4;Oberösterreich;7818602;580113;7238489
2021-10-06;5;Salzburg;3147385;221807;2925578
2021-10-06;6;Steiermark;6213094;441769;5771325
2021-10-06;7;Tirol;4051047;285125;3765922
2021-10-06;8;Vorarlberg;2475985;163902;2312083
2021-10-06;9;Wien;9189771;1270960;7918811
2021-10-06;10;Österreich;46550046;4083769;42466277
2021-10-13;1;Burgenland;1674723;164904;1509819
2021-10-13;2;Kärnten;3319701;252010;3067691
2021-10-13;3;Niederösterreich;9557850;920266;8637584
2021-10-13;4;Oberösterreich;8345661;708475;7637186
2021-10-13;5;Salzburg;3344662;271628;3073034
2021-10-13;6;Steiermark;6621682;539314;6082368
2021-10-13;7;Tirol;4300342;344719;3955623
2021-10-13;8;Vorarlberg;2561234;166241;2394993
2021-10-13;9;Wien;9755812;1562239;8193573
2021-10-13;10;Österreich;49481667;4929796;44551871
2021-10-20;1;Burgenland;1766604;189658;1576946
2021-10-20;2;Kärnten;3478643;295409;3183234
2021-10-20;3;Niederösterreich;10012997;1050393;8962604
2021-10-20;4;Oberösterreich;8769839;827986;7941853
2021-10-20;5;Salzburg;3505854;317636;3188218
2021-10-20;6;Steiermark;6941369;628386;6312983
2021-10-20;7;Tirol;4492398;399192;4093206
2021-10-20;8;Vorarlberg;2605721;167912;2437809
2021-10-20;9;Wien;10187692;1782325;8405367
2021-10-20;10;Österreich;51761117;5658897;46102220
2021-10-27;1;Burgenland;1804266;189658;1614608
2021-10-27;2;Kärnten;3538126;295409;3242717
2021-10-27;3;Niederösterreich;10207501;1050397;9157104
2021-10-27;4;Oberösterreich;8918139;827986;8090153
2021-10-27;5;Salzburg;3573593;317956;3255637
2021-10-27;6;Steiermark;7063717;628386;6435331
2021-10-27;7;Tirol;4564806;399192;4165614
2021-10-27;8;Vorarlberg;2634469;167912;2466557
2021-10-27;9;Wien;10429364;1948301;8481063
2021-10-27;10;Österreich;52733981;5825197;46908784
2021-11-10;1;Burgenland;1926638;238382;1688256
2021-11-10;2;Kärnten;3756565;384454;3372111
