Bezirk;GKZ;AnzEinwohner;Anzahl;AnzahlTot;AnzahlFaelle7Tage
Eisenstadt(Stadt);101;14895;990;11;1
Rust(Stadt);102;2000;77;0;0
Eisenstadt-Umgebung;103;43861;2402;25;4
Güssing;104;25770;1849;57;6
Jennersdorf;105;17109;1310;26;2
Mattersburg;106;40316;2319;34;6
Neusiedl am See;107;60397;3286;42;0
Oberpullendorf;108;37453;2246;41;1
Oberwart;109;54209;3702;95;13
Klagenfurt Stadt;201;101765;6329;159;20
Villach Stadt;202;63236;3953;68;10
Hermagor;203;18052;1914;30;25
Klagenfurt Land;204;60503;4216;67;6
Sankt Veit an der Glan;205;53880;3988;100;6
Spittal an der Drau;206;75628;5868;124;14
Villach Land;207;64920;4511;87;32
Völkermarkt;208;41834;3713;62;4
Wolfsberg;209;52488;3507;73;7
Feldkirchen;210;29783;2417;52;4
Krems an der Donau(Stadt);301;24837;1408;31;1
Sankt Pölten(Stadt);302;55878;3954;59;7
Waidhofen an der Ybbs(Stadt);303;11134;916;14;1
Wiener Neustadt(Stadt);304;46456;3922;88;7
Amstetten;305;116592;10079;133;20
Baden;306;147113;10036;132;24
Bruck an der Leitha;307;105507;6215;94;21
Gänserndorf;308;105824;6084;72;18
Gmünd;309;36275;2753;44;0
Hollabrunn;310;51332;2658;53;4
Horn;311;30838;1542;27;1
Korneuburg;312;91777;4428;51;29
Krems(Land);313;56559;3330;41;1
Lilienfeld;314;25474;1702;50;3
Melk;315;78281;5818;102;11
Mistelbach;316;75655;3798;34;10
Mödling;317;119240;6515;125;29
Neunkirchen;318;86323;6001;102;9
Sankt Pölten(Land);319;132064;8054;141;20
Scheibbs;320;41567;3800;44;5
Tulln;321;105762;5485;87;18
Waidhofen an der Thaya;322;25531;1689;14;6
Wiener Neustadt(Land);323;79033;5308;96;10
Zwettl;325;41827;3355;39;1
Linz(Stadt);401;206537;14053;224;102
Steyr(Stadt);402;37952;2479;20;1
Wels(Stadt);403;62654;5699;82;23
Braunau am Inn;404;106492;9296;111;16
Eferding;405;33368;2824;37;10
Freistadt;406;66922;5561;93;13
Gmunden;407;102102;7875;113;19
Grieskirchen;408;65137;5268;75;21
Kirchdorf an der Krems;409;57163;4296;84;23
Linz-Land;410;152391;10326;91;52
Perg;411;69241;5914;77;12
Ried im Innkreis;412;61850;6021;102;10
Rohrbach;413;56623;5128;97;5
Schärding;414;57438;5338;73;3
Steyr-Land;415;60936;4334;71;6
Urfahr-Umgebung;416;86235;6169;76;23
Vöcklabruck;417;137993;11585;162;26
Wels-Land;418;74574;5750;64;19
Salzburg(Stadt);501;155416;11855;144;83
Hallein;502;60992;6746;65;22
Salzburg-Umgebung;503;154624;12495;125;39
Sankt Johann im Pongau;504;81392;9715;114;78
Tamsweg;505;20118;2498;43;4
Zell am See;506;88168;7498;106;128
Graz(Stadt);601;291134;16541;312;103
Deutschlandsberg;603;60871;4101;112;12
Graz-Umgebung;606;157853;8950;252;68
Leibnitz;610;85294;5953;112;12
Leoben;611;59151;3369;113;1
Liezen;612;79592;5471;114;9
Murau;614;27449;1995;30;1
Voitsberg;616;50947;3458;120;7
Weiz;617;90916;6231;147;7
Murtal;620;71356;5139;173;14
Bruck-Mürzzuschlag;621;98054;6126;249;11
Hartberg-Fürstenfeld;622;90619;7414;186;7
Südoststeiermark;623;83841;6046;172;5
Innsbruck-Stadt;701;131059;9896;98;32
Imst;702;60922;5516;39;11
Innsbruck-Land;703;181698;14025;136;36
Kitzbühel;704;64676;4517;43;21
Kufstein;705;111080;9455;138;24
Landeck;706;44346;3708;49;4
Lienz;707;48814;5464;47;80
Reutte;708;33054;2072;6;10
Schwaz;709;84456;9025;132;7
Bludenz;801;64368;4272;48;15
Bregenz;802;135310;10031;107;54
Dornbirn;803;90502;7789;76;24
Feldkirch;804;109057;8398;76;46
Wien;900;1920949;140741;2362;740
