time;tägliche Erkrankungen
25.02;2
27.02;3
28.02;6
29.02;1
01.03;2
02.03;6
03.03;9
04.03;14
05.03;20
06.03;22
07.03;16
08.03;32
09.03;28
10.03;70
11.03;131
12.03;114
13.03;229
14.03;184
15.03;217
16.03;277
17.03;377
18.03;387
19.03;480
20.03;568
21.03;480
22.03;603
23.03;855
24.03;793
25.03;717
26.03;966
27.03;813
28.03;580
29.03;471
30.03;639
31.03;571
01.04;492
02.04;399
03.04;363
04.04;257
05.04;161
06.04;270
07.04;308
08.04;228
09.04;260
10.04;336
11.04;187
12.04;107
13.04;90
14.04;123
