time;Todesfälle
26.02;0
27.02;0
28.02;0
29.02;0
01.03;0
02.03;0
03.03;0
04.03;0
05.03;0
06.03;0
07.03;0
08.03;0
09.03;0
10.03;0
11.03;0
12.03;1
13.03;1
14.03;1
15.03;3
16.03;5
17.03;6
18.03;9
19.03;12
20.03;17
21.03;18
22.03;25
23.03;35
24.03;43
25.03;52
26.03;64
27.03;79
28.03;94
29.03;104
30.03;123
31.03;138
01.04;149
02.04;163
03.04;177
04.04;194
05.04;211
06.04;228
07.04;253
08.04;269
09.04;284
10.04;295
11.04;308
12.04;319
13.04;337
14.04;342
15.04;346
