Bezirk;Anzahl;Anzahl_Inzidenz
Amstetten;276;237,697435279122
Baden;127;86,8655225952956
Bludenz;246;386,100386100386
Braunau am Inn;118;113,018159528006
Bregenz;256;190,500286494571
Bruck an der Leitha;73;71,5616116067052
Bruck-Mürzzuschlag;50;50,5132142568496
Deutschlandsberg;44;72,343434011279
Dornbirn;142;159,477094821487
Eferding;52;156,834358788756
Eisenstadt(Stadt);15;102,480016396803
Eisenstadt-Umgebung;23;53,5793323549281
Feldkirch;207;193,170895585065
Feldkirchen;10;33,403480642683
Freistadt;105;157,607961453596
Gänserndorf;76;73,2982273402388
Gmünd;12;32,6326380768499
Gmunden;62;61,0050083143923
Graz(Stadt);431;149,235126694044
Graz-Umgebung;185;119,927395306625
Grieskirchen;70;108,156548879035
Güssing;22;85,2812342520448
Hallein;66;109,31858084606
Hartberg-Fürstenfeld;290;320,010593454128
Hermagor;5;27,4363476733977
Hollabrunn;29;57,0215108734122
Horn;43;138,308137664844
Imst;280;466,231517250566
Innsbruck-Land;374;208,568018826889
Innsbruck-Stadt;382;289,152978578457
Jennersdorf;9;52,7364350169929
Kirchdorf an der Krems;40;70,3408011817255
Kitzbühel;350;547,893739922669
Klagenfurt Land;39;65,2173913043478
Klagenfurt Stadt;86;85,3030738863485
Korneuburg;150;165,036473060546
Krems an der Donau(Stadt);33;132,657983598649
Krems(Land);134;236,76584917662
Kufstein;491;447,657774292956
Landeck;967;2179,79351697399
Leibnitz;174;210,950002424713
Leoben;22;36,6300366300366
Lienz;142;291,264127335754
Liezen (inkl. Gröbming);80;100,123903330371
Lilienfeld;40;154,966682163335
Linz(Stadt);296;143,880695682607
Linz-Land;196;130,429285367298
Mattersburg;36;90,1690670006262
Melk;162;207,79354044278
Mistelbach;116;153,676986871216
Mödling;155;130,254289988067
Murau;5;18,0772985285079
Murtal;31;43,053163713127
Neunkirchen;174;201,643276819135
Neusiedl am See;51;85,6394411606663
Oberpullendorf;22;58,6463359368752
Oberwart;107;197,869664916044
Perg;250;365,182079784981
Reutte;56;171,41108050199
Ried im Innkreis;42;68,6229658192275
Rohrbach;142;251,220720401953
Salzburg(Stadt);143;92,7300905901654
Salzburg-Umgebung;184;120,829256440396
Sankt Johann im Pongau;431;534,918645203728
Sankt Pölten(Land);251;191,538719819297
Sankt Pölten(Stadt);80;145,338274834678
Sankt Veit an der Glan;49;89,8176152506645
Schärding;54;94,2293262603172
Scheibbs;100;241,52839166244
Schwaz;335;399,413398829182
Spittal an der Drau;38;49,940203177774
Steyr(Stadt);55;144,005446024141
Steyr-Land;172;284,640971751038
Südoststeiermark;48;55,8483716709135
Tamsweg;22;108,267716535433
Tulln;145;139,730753293309
Urfahr-Umgebung;279;326,296707794866
Villach Land;48;74,2252737056968
Villach Stadt;20;32,1321273074884
Vöcklabruck;105;77,0625233939803
Voitsberg;96;187,642931138954
Völkermarkt;52;124,170208701466
Waidhofen an der Thaya;64;247,218788627936
Waidhofen an der Ybbs(Stadt);23;204,244738477933
Weiz;153;169,354570913076
Wels(Stadt);57;92,3420869311646
Wels-Land;76;103,975702520043
Wien(Stadt);2109;111,146772237655
Wiener Neustadt(Land);63;80,7785513713121
Wiener Neustadt(Stadt);39;86,1364489696755
Wolfsberg;42;79,6570951712628
Zell am See;336;384,166838169719
Zwettl;66;156,316612192696
