Stamp,State,Region,Confirmed,Recovered,Deaths
2020-01-22,Hubei,Mainland China,444,28,17
2020-01-23,Hubei,Mainland China,444,28,17
2020-01-24,Hubei,Mainland China,549,31,24
2020-01-25,Hubei,Mainland China,761,32,40
2020-01-26,Hubei,Mainland China,1058,42,52
2020-01-27,Hubei,Mainland China,1423,45,76
2020-01-28,Hubei,Mainland China,3554,80,125
2020-01-29,Hubei,Mainland China,3554,88,125
2020-01-30,Hubei,Mainland China,4903,90,162
2020-01-31,Hubei,Mainland China,5806,141,204
2020-02-01,Hubei,Mainland China,7153,168,249
2020-02-02,Hubei,Mainland China,11177,295,350
2020-02-03,Hubei,Mainland China,13522,386,414
2020-02-04,Hubei,Mainland China,16678,522,479
2020-02-05,Hubei,Mainland China,19665,633,549
2020-02-06,Hubei,Mainland China,22112,817,618
2020-02-07,Hubei,Mainland China,24953,1115,699
2020-02-08,Hubei,Mainland China,27100,1439,780
2020-02-09,Hubei,Mainland China,29631,1795,871
2020-02-10,Hubei,Mainland China,31728,2222,974
2020-02-11,Hubei,Mainland China,33366,2639,1068
2020-02-12,Hubei,Mainland China,33366,2686,1068
2020-02-13,Hubei,Mainland China,48206,3459,1310
2020-02-14,Hubei,Mainland China,54406,4774,1457
2020-02-15,Hubei,Mainland China,56249,5623,1596
2020-02-16,Hubei,Mainland China,58182,6639,1696
2020-02-17,Hubei,Mainland China,59989,7862,1789
2020-02-18,Hubei,Mainland China,61682,9128,1921
2020-02-19,Hubei,Mainland China,62031,10337,2029
2020-02-20,Hubei,Mainland China,62442,11788,2144
2020-02-21,Hubei,Mainland China,62662,11881,2144
2020-02-22,Hubei,Mainland China,64084,15299,2346
2020-02-23,Hubei,Mainland China,64084,15343,2346
2020-02-24,Hubei,Mainland China,64287,16748,2495
2020-02-25,Hubei,Mainland China,64786,18971,2563
2020-02-26,Hubei,Mainland China,65187,20969,2615
2020-02-27,Hubei,Mainland China,65596,23383,2641
2020-02-28,Hubei,Mainland China,65914,26403,2682
2020-02-29,Hubei,Mainland China,66337,28993,2727
2020-03-01,Hubei,Mainland China,66907,31536,2761
2020-03-02,Hubei,Mainland China,67103,33934,2803
2020-03-03,Hubei,Mainland China,67217,36208,2835
2020-03-04,Hubei,Mainland China,67332,38557,2871
2020-03-05,Hubei,Mainland China,67466,40592,2902
2020-03-06,Hubei,Mainland China,67592,42033,2931
2020-03-07,Hubei,Mainland China,67666,43500,2959
2020-03-08,Hubei,Mainland China,67707,45235,2986
2020-03-09,Hubei,Mainland China,67743,46488,3008
2020-03-10,Hubei,Mainland China,67760,47743,3024
2020-03-11,Hubei,Mainland China,67760,47743,3024
2020-03-12,Hubei,Mainland China,67760,47743,3024
2020-03-13,Hubei,Mainland China,67760,47743,3024
2020-03-14,Hubei,Mainland China,67760,47743,3024
2020-03-15,Hubei,Mainland China,67760,47743,3024
2020-03-16,Hubei,Mainland China,67760,47743,3024
2020-03-17,Hubei,Mainland China,67760,47743,3024
2020-03-18,Hubei,Mainland China,67760,47743,3024
2020-03-19,Hubei,Mainland China,67760,47743,3024
2020-03-20,Hubei,Mainland China,67760,47743,3024
2020-03-21,Hubei,Mainland China,67760,47743,3024
2020-03-22,Hubei,Mainland China,67760,47743,3024
2020-01-22,Zhejiang,Mainland China,10,1,0
2020-01-23,Zhejiang,Mainland China,27,1,0
2020-01-24,Zhejiang,Mainland China,43,1,0
2020-01-25,Zhejiang,Mainland China,62,1,0
2020-01-26,Zhejiang,Mainland China,104,1,0
2020-01-27,Zhejiang,Mainland China,128,1,0
2020-01-28,Zhejiang,Mainland China,173,3,0
2020-01-29,Zhejiang,Mainland China,296,3,0
2020-01-30,Zhejiang,Mainland China,428,4,0
2020-01-31,Zhejiang,Mainland China,538,14,0
2020-02-01,Zhejiang,Mainland China,599,21,0
2020-02-02,Zhejiang,Mainland China,661,32,0
2020-02-03,Zhejiang,Mainland China,724,43,0
2020-02-04,Zhejiang,Mainland China,829,62,0
2020-02-05,Zhejiang,Mainland China,895,78,0
2020-02-06,Zhejiang,Mainland China,954,94,0
2020-02-07,Zhejiang,Mainland China,1006,123,0
2020-02-08,Zhejiang,Mainland China,1048,175,0
2020-02-09,Zhejiang,Mainland China,1075,201,0
2020-02-10,Zhejiang,Mainland China,1092,242,0
2020-02-11,Zhejiang,Mainland China,1117,270,0
2020-02-12,Zhejiang,Mainland China,1131,321,0
2020-02-13,Zhejiang,Mainland China,1145,360,0
2020-02-14,Zhejiang,Mainland China,1155,403,0
2020-02-15,Zhejiang,Mainland China,1162,428,0
2020-02-16,Zhejiang,Mainland China,1167,456,0
2020-02-17,Zhejiang,Mainland China,1171,507,0
2020-02-18,Zhejiang,Mainland China,1172,535,0
2020-02-19,Zhejiang,Mainland China,1174,604,0
2020-02-20,Zhejiang,Mainland China,1175,633,1
2020-02-21,Zhejiang,Mainland China,1203,679,1
2020-02-22,Zhejiang,Mainland China,1205,719,1
2020-02-23,Zhejiang,Mainland China,1205,760,1
2020-02-24,Zhejiang,Mainland China,1205,782,1
2020-02-25,Zhejiang,Mainland China,1205,808,1
2020-02-26,Zhejiang,Mainland China,1205,867,1
2020-02-27,Zhejiang,Mainland China,1205,932,1
2020-02-28,Zhejiang,Mainland China,1205,975,1
2020-02-29,Zhejiang,Mainland China,1205,1016,1
2020-03-01,Zhejiang,Mainland China,1205,1046,1
2020-03-02,Zhejiang,Mainland China,1206,1069,1
2020-03-03,Zhejiang,Mainland China,1213,1093,1
